label src dest weight bw delay
edge_4_2 4 2 10 1000000000 136
edge_7_4 7 4 10 1000000000 136
edge_1_4 1 4 10 1000000000 136
edge_1_7 1 7 10 1000000000 136
edge_4_7 4 7 10 1000000000 136
edge_1_6 1 6 10 1000000000 136
edge_2_4 2 4 10 1000000000 136
edge_1_0 1 0 10 1000000000 136
edge_4_1 4 1 10 1000000000 136
edge_5_6 5 6 10 1000000000 136
edge_3_4 3 4 10 1000000000 136
edge_3_2 3 2 10 1000000000 136
edge_3_8 3 8 10 1000000000 136
edge_4_3 4 3 10 1000000000 136
edge_8_6 8 6 10 1000000000 136
edge_2_5 2 5 10 1000000000 136
edge_0_1 0 1 10 1000000000 136
edge_8_5 8 5 10 1000000000 136
edge_0_6 0 6 10 1000000000 136
edge_6_8 6 8 10 1000000000 136
edge_6_5 6 5 10 1000000000 136
edge_8_3 8 3 10 1000000000 136
edge_5_8 5 8 10 1000000000 136
edge_7_1 7 1 10 1000000000 136
edge_6_0 6 0 10 1000000000 136
edge_6_1 6 1 10 1000000000 136
edge_5_2 5 2 10 1000000000 136
edge_2_3 2 3 10 1000000000 136
