label src dest weight bw delay
edge_0_2 0 2 10 40000 804
edge_0_4 0 4 10 40000 598
edge_0_9 0 9 10 40000 218
edge_0_15 0 15 10 40000 6802
edge_0_19 0 19 10 40000 277
edge_1_6 1 6 10 40000 264
edge_1_13 1 13 10 40000 186
edge_1_14 1 14 10 40000 169
edge_2_6 2 6 10 40000 410
edge_2_12 2 12 10 40000 250
edge_3_4 3 4 10 40000 411
edge_3_16 3 16 10 40000 309
edge_3_20 3 20 10 40000 290
edge_4_6 4 6 10 40000 478
edge_4_7 4 7 10 40000 1794
edge_4_10 4 10 10 40000 1088
edge_4_12 4 12 10 40000 518
edge_4_14 4 14 10 40000 358
edge_4_18 4 18 10 40000 1184
edge_5_6 5 6 10 40000 1054
edge_5_12 5 12 10 40000 1189
edge_5_17 5 17 10 40000 503
edge_6_13 6 13 10 40000 287
edge_6_21 6 21 10 40000 343
edge_7_12 7 12 10 40000 1453
edge_8_9 8 9 10 40000 304
edge_8_19 8 19 10 40000 115
edge_9_20 9 20 10 40000 163
edge_10_21 10 21 10 40000 463
edge_11_12 11 12 10 40000 2658
edge_11_14 11 14 10 40000 3296
edge_14_21 14 21 10 40000 359
edge_15_21 15 21 10 40000 5575
edge_16_18 16 18 10 40000 777
edge_17_21 17 21 10 40000 1588
edge_18_21 18 21 10 40000 1426
