label x y
0_at1.at 16.3729 48.2091
1_be1.be 4.3518 50.8469
2_ch1.ch 6.1399 46.2038
3_cz1.cz 14.4423 50.0785
4_de1.de 8.6842 50.1122
5_es1.es -3.7033 40.4167
6_fr1.fr 2.351 48.8566
7_gr1.gr 23.5808 37.9778
8_hr1.hr 15.9644 45.8071
9_hu1.hu 19.0936 47.4976
10_ie1.ie -6.2573 53.3416
11_il1.il 34.8097 32.0714
12_it1.it 9.19 45.4642
13_lu1.lu 6.1296 49.6112
14_nl1.nl 4.9407 52.3236
15_ny1.ny -73.94384 40.6698
16_pl1.pl 16.8874 52.3963
17_pt1.pt -9.1363 38.7073
18_se1.se 17.8742 59.3617
19_si1.si 14.5148 46.0574
20_sk1.sk 17.1297 48.1531
21_uk1.uk -0.1264 51.5086
